Artist,Gender
Lil' Bow Wow,man
Alicia Keys,woman
Elton John,man
Blackbear,man
Sheriff,band
Alan O'Day,man
Soul Asylum,band
Toby Beau,band
Mýa,woman
Hot Chocolate,band
Karla Bonoff,woman
The Cars,band
The Go-Go'S,band
Luther Vandross,man
Heatwave,band
Tommy James,man
Kristinia Debarge,woman
Oleta Adams,woman
Robert Miles,man
Kyper,man
Cassie,woman
Sly & The Family Stone,band
Boys Club,band
Lewis Capaldi,man
Jessie Murph,woman
Alabama,man
Arizona Zervas,man
Apollo 100,band
Ian Matthews,man
The Left Banke,band
Gabby Barrett,woman
Lisa Lisa And Cult Jam,band
Steve Perry,man
The Outsiders,band
Cece Peniston,woman
Alejandro Sanz,man
Morris Albert,man
Warren G,man
Jeezy,man
Helen Reddy,woman
Brantley Gilbert,man
Eddie Murphy,man
Milli Vanilli,band
Majid Jordan,band
Ryan Tedder,man
Tom Petty,man
Changing Faces,band
Wilson Phillips,band
Becky G,woman
Chuck Mangione,man
Blackstreet,band
The Police,band
The Temptations,band
Luke,man
Mark Lindsay,man
Cyndi Lauper,woman
Kandi,woman
Sly And The Family Stone,band
The Poppy Family,band
Destiny'S Child,band
Janet Jackson,woman
Laura Branigan,woman
Bette Midler,woman
Lisa Loeb,woman
The Babys,band
The Ides Of March,band
1910 Fruitgum Company,band
Idina Menzel,woman
Ben E. King,man
Bar-Kays,band
Disco-Tex And The Sex-O-Lettes,band
Emilee,woman
Little River Band,band
Surface,band
Tommy Tutone,band
Abba,band
Chance The Rapper,man
Amber,band
Jonas Brothers,band
Qb Finest,band
Arthur Conley,man
Ray Conniff Singers,band
Sean Kingston,man
James Newton Howard,man
The Tony Rich Project,man
Shai,man
Barbra Streisand,woman
Leif Garrett,man
Paula Abdul,woman
The Chiffons,band
Mc Lyte,woman
Kelly Price,woman
The Partridge Family,band
Terri Gibbs,woman
Candi Staton,woman
The T-Bones,band
Carly Simon,woman
Michael Bolton,man
Stevie B,man
Killer Mike,man
Patrick Stump,man
Lee Brice,man
Nelly,man
Meredith Brooks,woman
Omarion,man
Howard Jones,man
Miguel,man
Wreckx-N-Effect,band
Diana Ross,woman
Jackie Deshannon,woman
Quavo,man
Los Lonely Boys,band
Mario Winans,man
George Benson,man
Luther Ingram,man
Boy Krazy,band
The Troggs,band
Beastie Boys,band
"""Mama"" Cass Elliot",woman
Edwin Mccain,man
Five Stairsteps,band
Surfaces,band
Timex Social Club,band
Marvin Gaye,man
Reo Speedwagon,band
Djo,man
Vertical Horizon,band
Calvin Harris,man
Kenny G,man
Aloe Blacc,man
Emf,band
Carl Douglas,man
Us3,band
Rihanna,woman
Skip Marley,man
Ritt Momney,man
"Checkmates, Ltd.",band
Jr. Walker & The All Stars,man
Michael W. Smith,man
Crowded House,band
George Harrison,man
Zach Bryan,man
The Flying Machine,band
Loverboy,band
Bad Company,band
"Crosby, Stills & Nash",band
The Greg Kihn Band,band
Jesse Powell,man
Henry Mancini,man
Shawn Colvin,woman
Tina Turner,woman
Tamia,woman
Terry Jacks,man
Shirley Ellis,woman
James Blunt,man
Pure Prairie League,band
Chris De Burgh,man
Jason Aldean,man
R. Kelly,man
Floetry,band
Megan Moroney,woman
Ohio Express,band
Michael Franti & Spearhead,man
Lil Tjay,man
Five For Fighting,man
John Parr,man
Genesis,band
Blue October,band
Damn Yankees,woman
Freda Payne,woman
Evan And Jaron,band
Iyaz,man
Bryson Tiller,man
Demi Lovato,non-binary
Tracey Ullman,woman
Lloyd,man
Frank Mills,man
Quiet Riot,band
Ginuwine,man
Karmin,band
Shania Twain,woman
Syleena Johnson,woman
Inoj,woman
Nicki Minaj,woman
Blondie,band
